课程,课次,假名,汉字,释义,词性,罗马字,例句假名,例句汉字,例句释义
高级上册,第41课,せいじ,政治,政治,名词,seiji,政治に興味があります,政治に興味があります,对政治有兴趣
高级上册,第41课,けいざい,経済,经济,名词,keizai,経済を勉強します,経済を勉強します,学习经济
高级上册,第41课,きょうみ,興味,兴趣,名词,kyoumi,音楽に興味があります,音楽に興味があります,对音乐有兴趣
高级上册,第41课,ぶんか,文化,文化,名词,bunka,日本の文化です,日本の文化です,是日本的文化
高级上册,第41课,でんとう,伝統,传统,名词,dentou,伝統的な文化です,伝統的な文化です,是传统文化
高级上册,第41课,てきな,的な,的,形容动词词尾,tekina,伝統的な文化です,伝統的な文化です,是传统文化
高级上册,第41课,れきし,歴史,历史,名词,rekishi,日本の歴史を学びます,日本の歴史を学びます,学习日本历史
高级上册,第41课,こっか,国家,国家,名词,kokka,日本という国家,日本という国家,叫做日本的国家
高级上册,第41课,ちいき,地域,地区,名词,chiiki,この地域について,この地域について,关于这个地区
高级上册,第42课,しょうらい,将来,将来,名词,shourai,将来の夢があります,将来の夢があります,有将来的梦想
高级上册,第42课,ゆめ,夢,梦想,名词,yume,医者になる夢があります,医者になる夢があります,有成为医生的梦想
高级上册,第42课,いしゃ,医者,医生,名词,isha,医者になりたいです,医者になりたいです,想成为医生
高级上册,第42课,なりたい,,想成为,动词,naritai,先生になりたいです,先生になりたいです,想成为老师
高级上册,第42课,きぼう,希望,希望,名词,kibou,希望があります,希望があります,有希望
高级上册,第42课,もくひょう,目標,目标,名词,mokuhyou,目標を立てます,目標を立てます,制定目标
高级上册,第42课,たてる,立てる,制定,动词,tateru,計画を立てます,計画を立てます,制定计划
高级上册,第42课,どりょく,努力,努力,名词,doryoku,一生懸命努力します,一生懸命努力します,拼命努力
高级上册,第42课,いっしょうけんめい,一生懸命,拼命,副词,isshoukenmei,一生懸命勉強します,一生懸命勉強します,拼命学习
高级上册,第42课,がんばる,頑張る,加油,动词,ganbaru,頑張って勉強します,頑張って勉強します,加油学习
高级上册,第42课,せいこう,成功,成功,名词,seikou,成功しました,成功しました,成功了
高级上册,第42课,しっぱい,失敗,失败,名词,shippai,失敗しました,失敗しました,失败了
高级下册,第51课,しんせつ,親切,亲切,形容动词,shinsetsu,とても親切な人です,とても親切な人です,很亲切的人
高级下册,第51课,やさしい,優しい,温柔的,形容词,yasashii,優しい先生です,優しい先生です,温柔的老师
高级下册,第51课,きびしい,厳しい,严格的,形容词,kibishii,厳しい先生です,厳しい先生です,严格的老师
高级下册,第51课,まじめ,真面目,认真的,形容动词,majime,真面目な学生です,真面目な学生です,认真的学生
高级下册,第51课,ゆうめい,有名,有名的,形容动词,yuumei,有名な歌手です,有名な歌手です,有名的歌手
高级下册,第51课,かしゅ,歌手,歌手,名词,kashu,歌手になりたいです,歌手になりたいです,想成为歌手
高级下册,第51课,あたま,頭,头脑,名词,atama,頭がいいです,頭がいいです,头脑聪明
高级下册,第51课,あたまがいい,頭がいい,聪明,形容词,atama ga ii,彼は頭がいいです,彼は頭がいいです,他很聪明
高级下册,第51课,かれ,彼,他,代词,kare,彼は学生です,彼は学生です,他是学生
高级下册,第51课,かのじょ,彼女,她,代词,kanojo,彼女は先生です,彼女は先生です,她是老师
高级下册,第51课,せいかく,性格,性格,名词,seikaku,いい性格です,いい性格です,性格很好
高级下册,第51课,あかるい,明るい,开朗的,形容词,akarui,明るい人です,明るい人です,是开朗的人
高级下册,第52课,しごと,仕事,工作,名词,shigoto,新しい仕事を始めました,新しい仕事を始めました,开始了新工作
高级下册,第52课,はじめる,始める,开始,动词,hajimeru,勉強を始めます,勉強を始めます,开始学习
高级下册,第52课,おわる,終わる,结束,动词,owaru,授業が終わりました,授業が終わりました,课结束了
高级下册,第52课,かいしゃ,会社,公司,名词,kaisha,会社で働きます,会社で働きます,在公司工作
高级下册,第52课,はたらく,働く,工作,动词,hataraku,毎日働きます,毎日働きます,每天工作
高级下册,第52课,やくしょ,役所,政府机关,名词,yakusho,役所に行きます,役所に行きます,去政府机关
高级下册,第52课,ぎんこう,銀行,银行,名词,ginkou,銀行でお金を下ろします,銀行でお金を下ろします,在银行取钱
高级下册,第52课,おろす,下ろす,取出,动词,orosu,お金を下ろします,お金を下ろします,取钱
高级下册,第52课,ゆうびんきょく,郵便局,邮局,名词,yuubinkyoku,郵便局で手紙を出します,郵便局で手紙を出します,在邮局寄信
高级下册,第52课,だす,出す,寄出,动词,dasu,手紙を出します,手紙を出します,寄信
高级下册,第53课,きせつ,季節,季节,名词,kisetsu,好きな季節は春です,好きな季節は春です,喜欢的季节是春天
高级下册,第53课,しぜん,自然,自然,名词,shizen,自然が美しいです,自然が美しいです,自然很美
高级下册,第53课,うつくしい,美しい,美丽的,形容词,utsukushii,桜が美しいです,桜が美しいです,樱花很美
高级下册,第53课,さくら,桜,樱花,名词,sakura,桜の季節です,桜の季節です,是樱花的季节
高级下册,第53课,もみじ,紅葉,红叶,名词,momiji,紅葉が美しいです,紅葉が美しいです,红叶很美
高级下册,第53课,ゆきけしき,雪景色,雪景,名词,yukikeshiki,雪景色が綺麗です,雪景色が綺麗です,雪景很美
高级下册,第53课,かわ,川,河流,名词,kawa,川で泳ぎます,川で泳ぎます,在河里游泳
高级下册,第53课,うみ,海,海,名词,umi,海に行きます,海に行きます,去海边
高级下册,第53课,もり,森,森林,名词,mori,森を歩きます,森を歩きます,在森林里走
高级下册,第53课,あるく,歩く,走路,动词,aruku,公園を歩きます,公園を歩きます,在公园里走
